id;word;definition;sourse_id
1;Абстракция отождествления;Способ формирования общих абстрактных понятий. При рассмотрении исходных объектов принимать во внимание лишь те их различия, которые в данной ситуации по тем или иным причинам оказываются существенными (для целей и/или задач), игнорируя другие — несущественные.;2
2;Аддитивность;Свойство величины, определённой на некотором классе математических или физических объектов, состоящее в том, что значение величины, соответствующее целому объекту, равно сумме значений величин, соответствующих его (непересекающимся) частям при любом разбиении объекта на части;2
3;Аксиома;Исходное положение какой-либо теории, принимаемое в рамках данной теории истинным без требования доказательства и используемое при доказательстве других её положений, которые, в свою очередь, называются теоремами;2
4;Анзац;Используемый в теоретической физике термин немецкого происхождения, обозначающий некую догадку о том, какую форму должно иметь решение уравнения или системы уравнений, а также само это предполагаемое решение (функция или множество функций).;2
5;Асимптота;Прямая, к которой неограниченно приближается график функции при удалении в бесконечность;2
6;Биекция;Отображение, которое является одновременно сюръективным и инъективным;2
7;Вектор;Направленный отрезок, характеризующийся длиной и направлением;2
8;Вероятность;Числовая мера возможности наступления случайного события;2
9;Гипотеза;Научное предположение, требующее доказательства;2
10;Гомоморфизм;Отображение алгебраических структур, сохраняющее операции;2
11;Градиент;Вектор, указывающий направление наибольшего возрастания функции;2
12;Граф;Совокупность вершин и соединяющих их рёбер;2
13;Дельта-функция;Обобщённая функция, равная нулю везде кроме нуля и имеющая единичный интеграл;2
14;Детерминант;Число, характеризующее квадратную матрицу;2
15;Дивергенция;Скалярная характеристика векторного поля, мера расходимости;2
16;Дифференциал;Главная линейная часть приращения функции;2
17;Доказательство;Логическая последовательность утверждений, обосновывающая истинность теоремы;2
18;Изоморфизм;Взаимно-однозначный гомоморфизм;2
19;Интеграл;Аналог суммы для бесконечного числа бесконечно малых слагаемых;2
20;Интерполяция;Способ нахождения промежуточных значений функции по известным;2
21;Инъекция;Отображение, при котором разные элементы переходят в разные;2
22;Ковариация;Мера линейной зависимости двух случайных величин;2
23;Коммутативность;Свойство операции, при котором порядок операндов не важен;2
24;Константа;Неизменная величина;2
25;Конъюнкция;Логическая операция "И", истинная только когда оба операнда истинны;2
26;Корень;Значение аргумента, обращающее функцию в ноль;2
27;Координаты;Числа, определяющие положение точки в пространстве;2
28;Лемма;Вспомогательная теорема, используемая для доказательства основной;2
29;Линейность;Свойство функции, при котором f(a+b)=f(a)+f(b) и f(k·a)=k·f(a);2
30;Логарифм;Показатель степени, в которую нужно возвести основание для получения числа;2
31;Матрица;Прямоугольная таблица чисел;2
32;Мера;Функция, приписывающая каждому множеству его размер (длину, площадь, объём);2
33;Метод;Совокупность приёмов для достижения цели;2
34;Множество;Совокупность элементов, объединённых общим признаком;2
35;Модель;Упрощённое представление реального объекта;2
36;Модуль;Абсолютная величина числа (расстояние до нуля);2
